iter	Logloss
0	0.5240864965
1	0.4097472502
2	0.3861041581
3	0.3604942563
4	0.3294234426
5	0.3082527883
6	0.291635164
7	0.2828467761
8	0.2756116686
9	0.2692271343
10	0.2590785458
11	0.2561244924
12	0.250050097
13	0.2460847232
14	0.2433099365
15	0.241437908
16	0.2371484054
17	0.2354190224
18	0.2323978304
19	0.229477523
20	0.2283420924
21	0.2258395546
22	0.2249998073
23	0.2240612311
24	0.2232338032
25	0.2221493209
26	0.2211571944
27	0.2201949591
28	0.2195852661
29	0.2177425344
30	0.2163537919
31	0.215337926
32	0.2145202797
33	0.213407657
34	0.2125696443
35	0.2118152819
36	0.2113401875
37	0.2101932245
38	0.2092799458
39	0.2086943616
40	0.2075874088
41	0.2067071373
42	0.2061827971
43	0.2056222374
44	0.2047749088
45	0.2035900558
46	0.2032028359
47	0.2024685508
48	0.2018159244
49	0.2012065044
50	0.200646555
51	0.2002524446
52	0.1998364258
53	0.1989796207
54	0.1982969906
55	0.1975555902
56	0.1971118485
57	0.1962189203
58	0.1958494166
59	0.1951314183
60	0.1942139314
61	0.193763235
62	0.1934303043
63	0.1928678653
64	0.1922678897
65	0.191862022
66	0.1915299426
67	0.1907883012
68	0.1904133847
69	0.1898545275
70	0.1892770707
71	0.189045892
72	0.1882254189
73	0.1876321572
74	0.1868876086
75	0.1863440423
76	0.1858542834
77	0.18524035
78	0.1847344007
79	0.1842053383
80	0.1834523733
81	0.1830008095
82	0.1824626722
83	0.1820003791
84	0.181423388
85	0.1807076545
86	0.1802552876
87	0.1797576904
88	0.1789018009
89	0.1782966855
90	0.1775916812
91	0.177152453
92	0.1766002775
93	0.1757753874
94	0.1748155935
95	0.1743289345
96	0.17357454
97	0.1729457494
98	0.172424461
99	0.1714809378
100	0.1709908576
101	0.1703941104
102	0.1700508359
103	0.1693843159
104	0.1686635068
105	0.1680411409
106	0.1675344688
107	0.166793245
108	0.1663507723
109	0.165787225
110	0.1650864772
111	0.16468387
112	0.1640163863
113	0.1634774459
114	0.1629731991
115	0.1626053981
116	0.1621945994
117	0.161601964
118	0.1608347682
119	0.1604528166
120	0.1600643118
121	0.159423796
122	0.1589774041
123	0.1584391544
124	0.1578623561
125	0.1574783325
126	0.1567999589
127	0.1564111649
128	0.1558633423
129	0.1553781128
130	0.1547152228
131	0.1544082963
132	0.1540650699
133	0.1537462255
134	0.1533045719
135	0.1528079866
136	0.1521389449
137	0.151666324
138	0.1512373593
139	0.1508771716
140	0.1503050152
141	0.1497260485
142	0.1494035098
143	0.149006187
144	0.1483903905
145	0.1476338437
146	0.1472152549
147	0.1467272789
148	0.1461537572
149	0.1456851678
150	0.1452504208
151	0.1445329686
152	0.144006958
153	0.1436146304
154	0.1433070775
155	0.1426577598
156	0.1419821006
157	0.1415801841
158	0.1411639083
159	0.1408277331
160	0.1404993318
161	0.1402735339
162	0.1398120599
163	0.1394614451
164	0.1389980597
165	0.1384164589
166	0.1379403847
167	0.1371673905
168	0.1369216437
169	0.1365905601
170	0.1362063117
171	0.1353887939
172	0.1348798892
173	0.1344361074
174	0.1340894599
175	0.133552744
176	0.1333196058
177	0.132811199
178	0.1321128444
179	0.131767546
180	0.1312920179
181	0.1308766736
182	0.1304509052
183	0.1298701638
184	0.1296190443
185	0.1293743575
186	0.1288720864
187	0.1283165861
188	0.1280580219
189	0.1276978342
190	0.1273778735
191	0.1269312327
192	0.1265576975
193	0.1261819619
194	0.125574132
195	0.1252236296
196	0.1248240581
197	0.1245763598
198	0.1242375585
199	0.1239916992
