iter	Passed	Remaining
0	170	33974
1	178	17709
2	182	12012
3	190	9347
4	198	7749
5	206	6677
6	214	5910
7	222	5335
8	230	4884
9	238	4524
10	246	4232
11	254	3984
12	262	3772
13	270	3592
14	278	3433
15	286	3294
16	294	3170
17	302	3060
18	310	2958
19	319	2871
20	326	2786
21	335	2710
22	342	2638
23	351	2578
24	359	2516
25	367	2458
26	375	2404
27	383	2355
28	391	2307
29	399	2263
30	407	2223
31	415	2183
32	423	2144
33	431	2108
34	439	2073
35	447	2040
36	455	2008
37	463	1977
38	471	1947
39	479	1919
40	487	1892
41	495	1865
42	503	1839
43	511	1813
44	519	1790
45	527	1767
46	535	1744
47	543	1722
48	552	1701
49	560	1680
50	568	1660
51	576	1639
52	584	1620
53	592	1601
54	600	1582
55	608	1564
56	616	1546
57	624	1529
58	632	1511
59	640	1494
60	648	1477
61	656	1461
62	664	1444
63	672	1429
64	680	1413
65	688	1397
66	696	1381
67	704	1366
68	712	1351
69	719	1337
70	727	1322
71	735	1308
72	743	1293
73	751	1279
74	759	1265
75	767	1252
76	775	1238
77	783	1225
78	791	1212
79	799	1198
80	807	1186
81	815	1173
82	823	1161
83	831	1148
84	839	1135
85	847	1123
86	855	1111
87	863	1099
88	871	1087
89	879	1075
90	887	1063
91	895	1051
92	903	1039
93	911	1028
94	920	1016
95	927	1005
96	936	994
97	944	983
98	960	979
99	968	968
100	976	957
101	984	945
102	992	934
103	1000	923
104	1008	912
105	1016	901
106	1024	890
107	1032	879
108	1040	868
109	1048	857
110	1056	847
111	1064	836
112	1072	825
113	1080	815
114	1088	804
115	1096	793
116	1104	783
117	1112	772
118	1120	762
119	1128	752
120	1136	741
121	1144	731
122	1152	721
123	1162	712
124	1172	703
125	1180	693
126	1189	683
127	1196	673
128	1205	663
129	1213	653
130	1221	643
131	1229	633
132	1237	623
133	1245	613
134	1253	603
135	1261	593
136	1269	583
137	1277	573
138	1285	564
139	1293	554
140	1301	544
141	1309	534
142	1317	525
143	1325	515
144	1334	506
145	1342	496
146	1350	487
147	1359	477
148	1367	467
149	1375	458
150	1383	448
151	1391	439
152	1399	429
153	1407	420
154	1415	410
155	1423	401
156	1431	392
157	1439	382
158	1447	373
159	1455	363
160	1463	354
161	1471	345
162	1479	335
163	1487	326
164	1495	317
165	1503	307
166	1511	298
167	1519	289
168	1527	280
169	1535	270
170	1543	261
171	1551	252
172	1559	243
173	1568	234
174	1576	225
175	1584	216
176	1592	206
177	1600	197
178	1609	188
179	1616	179
180	1624	170
181	1632	161
182	1640	152
183	1648	143
184	1656	134
185	1664	125
186	1672	116
187	1680	107
188	1688	98
189	1696	89
190	1704	80
191	1712	71
192	1720	62
193	1728	53
194	1736	44
195	1744	35
196	1753	26
197	1761	17
198	1769	8
199	1777	0
